,combined_score,combined_score,combined_score,combined_score,combined_score,mse_train_score,mse_train_score,optimization_success
,count,mean,std,min,max,mean,std,mean
strategy,,,,,,,,
beam_search,127,5.018402927963623,2.662761463424074,-2.6600803065617202,8.999191242895224,,,0.0
best_of_n,127,3.71784706998901,2.896118908109768,-3.602959464375253,8.808598906156645,,,0.0
map_elites,127,5.856645172814296,2.6360673085480353,-1.641014243104505,8.99993104028948,,,0.0
mcts,83,5.146898835770524,3.2815716407995708,-2.784430115691016,8.999146532153159,,,0.0
