split,problem_id,beam_search,best_of_n,map_elites,mcts
bio_pop_growth,BPG0,2.875237966413245,2.9661379744550107,4.343236706444525,4.10498743992004
bio_pop_growth,BPG1,2.2111343288800422,0.44349818581709366,2.2593115681659124,2.4712165005089806
bio_pop_growth,BPG10,4.747508695449024,4.578103873819327,6.712701442913701,5.680980861078313
bio_pop_growth,BPG11,2.2533884299921416,-1.5689668974476856,3.3426947380165966,2.7894286328960503
bio_pop_growth,BPG12,0.0,-2.784644335590304,-1.641014243104505,-2.784430115691016
bio_pop_growth,BPG13,4.923830051553742,1.8661970839492112,4.949233049513191,5.8414138026206714
bio_pop_growth,BPG14,3.6450515455838777,2.9786533708847465,4.241568137043084,3.8433783545889533
bio_pop_growth,BPG15,1.9368766354161533,-0.002592476846756932,2.4059398490056028,1.7667197546140219
bio_pop_growth,BPG16,3.9326982141922167,0.634708648259279,2.7835715572808453,4.856738346661537
bio_pop_growth,BPG17,8.603803435748553,5.503318850369717,8.991503266188378,8.983805311575134
bio_pop_growth,BPG18,-2.6600803065617202,-2.678650029730369,-1.46724418710032,-2.6713466895653664
bio_pop_growth,BPG19,3.7247322775786684,3.224977654539888,5.650405533941249,3.6628008937005947
bio_pop_growth,BPG2,1.2641849511470389,-0.7618963637670575,3.468547600244754,-0.7543793383779426
bio_pop_growth,BPG20,1.551262405719884,1.2842401358301687,3.2696085776399078,1.3684342162148457
bio_pop_growth,BPG21,7.138501074370669,4.497289706424607,7.290749091486674,6.545729451327363
bio_pop_growth,BPG22,2.816040969100521,1.7244787755773985,4.038118105886611,2.8083398378922215
bio_pop_growth,BPG23,2.760755681548761,1.2982381445495275,4.271377093107688,3.022811568352124
bio_pop_growth,BPG3,8.397954565305094,8.372523026499127,8.997097661768555,8.740640954946215
bio_pop_growth,BPG4,4.863699291386742,3.838555757365004,5.766911751803789,4.642203310787052
bio_pop_growth,BPG5,5.728486991999667,7.929367180449972,8.30406438073311,7.929367115703704
bio_pop_growth,BPG6,6.467768845772388,5.6749400105465915,7.705287790520318,7.175613552834568
bio_pop_growth,BPG7,3.7093022954615837,1.6049253359468059,4.069190826438975,4.854186476784597
bio_pop_growth,BPG8,4.203156182899869,-0.7416058341901216,5.247943902752572,5.238351597728262
bio_pop_growth,BPG9,5.466678500275184,2.839389583439235,6.187654897133949,2.7573684695686715
chem_react,CRK0,8.421835780365921,8.17085834420983,8.978827793133792,8.93804200220842
chem_react,CRK1,8.876586159862436,6.999767217140954,8.971061187491669,8.577244945442047
chem_react,CRK10,8.96859041329026,8.01807248089629,8.99390681306091,8.966020977195182
chem_react,CRK11,8.982237504619237,6.920045119261633,8.996702679215122,8.714860932609133
chem_react,CRK12,6.704784367943323,6.118886098729207,7.617175546526333,7.825950213460763
chem_react,CRK13,8.978786929472447,7.941945776818928,8.967584809474456,8.984992733643777
chem_react,CRK14,7.861211725812959,4.580696078253558,7.692178530621443,7.530280083545811
chem_react,CRK15,6.685827994276001,5.373665375760491,7.0623365229826565,6.846484966320887
chem_react,CRK16,7.94425090640319,5.957472796942629,8.715552136982064,7.982478214089043
chem_react,CRK17,7.958727402212072,4.102288876769403,7.822970936416359,6.926884697774999
chem_react,CRK18,8.87140628260306,8.808598906156645,8.89944004268772,8.790124995645499
chem_react,CRK19,8.657749748663162,6.337877286670138,8.899347855325708,8.349385963355763
