split,problem_id,problem_index,strategy,strategy_raw,combined_score,mse_train_score,raw_mse_train,negative_mse,iteration,generation,can_run,optimization_success,program_id,parent_id,result_file
phys_osc,PO19,19,map_elites,openevolve,4.3015347671756965,,,-4.9940919791339955e-05,197,5,,False,d62f19a6-de83-4347-9dcb-2de4e1065765,4fd14bd7-2d6a-4745-a888-572c4d048dfd,problems/phys_osc/PO19/openevolve_output/best/best_program_info.json
phys_osc,PO20,20,beam_search,beam_search,4.007202307793784,,,-9.835428297199855e-05,17,2,,False,9ab73fe4-1455-41c3-80ce-eb1e495c4ca0,e7ae5749-45eb-4dcc-9c7f-0fe81f8c42c6,problems/phys_osc/PO20/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO20,20,best_of_n,best_of_n,2.911632883265877,,,-0.0012256508264480376,9,2,,False,555cb721-aa46-4183-81ca-9330946b36b6,8036b602-af1c-42f7-bf5e-70947b325a96,problems/phys_osc/PO20/openevolve_output/best_of_n/best/best_program_info.json
phys_osc,PO20,20,map_elites,openevolve,3.863266293850572,,,-0.00013700314481267456,76,3,,False,1eff5f9f-c4cb-4b94-9d63-389d7e115bb1,3f247474-033a-48e4-a265-6cde87f9b564,problems/phys_osc/PO20/openevolve_output/best/best_program_info.json
phys_osc,PO21,21,beam_search,beam_search,1.934574416476486,,,-0.011625872242838144,1,1,,False,02b07240-9451-4fa9-ad3a-dd3554f2dd8d,42631739-80f1-4c30-aa09-1400d5e4bbcf,problems/phys_osc/PO21/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO21,21,best_of_n,best_of_n,1.558123373025511,,,-0.027661556328707586,1,1,,False,71c0074b-fa6c-41a6-995d-28d334a51309,f4b95fd8-e934-44a1-8b02-c72462cc2a42,problems/phys_osc/PO21/openevolve_output/best_of_n/best/best_program_info.json
phys_osc,PO21,21,map_elites,openevolve,3.590201686555175,,,-0.00025691923669296567,196,5,,False,8cbef138-d394-4e00-b773-3893362b96fa,2a997232-8698-4e34-aab7-2bc6c720f28f,problems/phys_osc/PO21/openevolve_output/best/best_program_info.json
phys_osc,PO22,22,beam_search,beam_search,6.674543577473959,,,-2.1057113823284156e-07,12,2,,False,2c671c08-cd98-498a-81e2-a461e5734693,19832fed-d745-4b62-81e7-38249fe9070a,problems/phys_osc/PO22/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO22,22,best_of_n,best_of_n,6.289546631244754,,,-5.123970498653888e-07,9,2,,False,6339b9e5-8587-47ee-a815-8c0f666c1178,d6f0e79f-0196-4219-b346-69f4464b737a,problems/phys_osc/PO22/openevolve_output/best_of_n/best/best_program_info.json
phys_osc,PO22,22,map_elites,openevolve,7.640466292582623,,,-2.188409317733632e-08,40,4,,False,1579f154-53af-4441-93b9-bb15ada4f22c,ed07af0f-f4e1-4145-94b1-7613415bf92f,problems/phys_osc/PO22/openevolve_output/best/best_program_info.json
phys_osc,PO23,23,beam_search,beam_search,2.3162150454928336,,,-0.004828195695889125,58,8,,False,02ba952a-0887-4b81-a922-9e0da2fbcf11,7d5fe4c1-aee4-4397-9d7d-64a8f33219be,problems/phys_osc/PO23/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO23,23,best_of_n,best_of_n,1.7102187660264663,,,-0.019488625569606895,0,0,,False,2db3382e-651f-47f2-991e-29d702ef9390,,problems/phys_osc/PO23/openevolve_output/best_of_n/best/best_program_info.json
phys_osc,PO23,23,map_elites,openevolve,4.2229160965738695,,,-5.9851721622407825e-05,173,5,,False,5caa06ff-a933-4e4d-9b44-5829d8dea1ad,7bdc77b1-a9e1-4255-a811-f3b131feef79,problems/phys_osc/PO23/openevolve_output/best/best_program_info.json
phys_osc,PO24,24,beam_search,beam_search,4.044878104631903,,,-9.018142211112658e-05,26,4,,False,ad9b7dea-57c5-41a4-a22a-da4b390f5964,6b67236f-b05c-4204-af5a-e828423c9f60,problems/phys_osc/PO24/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO24,24,best_of_n,best_of_n,3.215193419160841,,,-0.0006092644918444591,9,2,,False,b5ff97e1-ae01-44de-976a-073beb2d753b,716062e9-132f-4f5b-94fe-3ef5e486e101,problems/phys_osc/PO24/openevolve_output/best_of_n/best/best_program_info.json
phys_osc,PO24,24,map_elites,openevolve,8.97826492204569,,,-5.1320366919702594e-11,197,6,,False,a7e873e5-464b-4320-825a-45cb0a61c329,51606ece-fa53-4947-9463-cf73946ca2ba,problems/phys_osc/PO24/openevolve_output/best/best_program_info.json
phys_osc,PO25,25,beam_search,beam_search,8.108623015379544,,,-6.787122104467242e-09,30,5,,False,80cc1bf2-db99-49a8-8576-2f4dae934874,06553dca-e3a3-4138-a57b-f9f4f23cdb65,problems/phys_osc/PO25/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO25,25,best_of_n,best_of_n,8.115710694402095,,,-6.661067795776362e-09,1,1,,False,3fd4b42f-b1cc-426d-aa23-fa17d2673dc7,943241b2-d654-4f2c-8e5e-8fbb35e7ec1b,problems/phys_osc/PO25/openevolve_output/best_of_n/best/best_program_info.json
