strategy_full,bio_pop_growth,chem_react,matsci,phys_osc,AVERAGE
map_elites,4.632852462409382,8.365216579427392,3.3001778384599514,5.808036152400576,5.526570758174325
beam_search,3.7734155428847225,7.8561855986386355,2.426651992071812,4.730443669397826,4.696674200748249
mcts,3.8697650127779,8.027144394859459,1.9713497759714504,,4.622753061202936
best_of_n,2.196716140047934,6.69000952481621,0.7714400176145751,3.655952891566706,3.3285296435113563
map_elites_memory,4.564850180248921,8.304540057726863,3.1135999309133586,5.3050817088114774,5.322017969425155
beam_search_memory,3.6710801441545917,7.962815257801891,2.0923864487275097,4.817433126295668,4.635928744244915
mcts_memory,4.019304093974174,7.96817262368036,2.026441988040177,4.6897472173187005,4.675916480753353
best_of_n_memory,2.1676630381037896,6.4953534032452955,1.2910372921949402,3.3209271439689854,3.3187452193782527
AVERAGE,3.6119558268251772,7.708679680024513,2.124135660499222,4.6182317013942775,4.515892009679818
