strategy,n_runs,overall_score_mean,overall_score_std,overall_score_min,overall_score_max,composite_score_mean,composite_score_std,composite_score_min,composite_score_max,smoothness_score_mean,smoothness_score_std,smoothness_score_min,smoothness_score_max,responsiveness_score_mean,responsiveness_score_std,responsiveness_score_min,responsiveness_score_max,accuracy_score_mean,accuracy_score_std,accuracy_score_min,accuracy_score_max,efficiency_score_mean,efficiency_score_std,efficiency_score_min,efficiency_score_max,slope_changes_mean,slope_changes_std,slope_changes_min,slope_changes_max,lag_error_mean,lag_error_std,lag_error_min,lag_error_max,avg_error_mean,avg_error_std,avg_error_min,avg_error_max,false_reversals_mean,false_reversals_std,false_reversals_min,false_reversals_max,correlation_mean,correlation_std,correlation_min,correlation_max,noise_reduction_mean,noise_reduction_std,noise_reduction_min,noise_reduction_max,execution_time_mean,execution_time_std,execution_time_min,execution_time_max,success_rate_mean,success_rate_std,success_rate_min,success_rate_max,iteration_mean,iteration_std,iteration_min,iteration_max,generation_mean,generation_std,generation_min,generation_max
MAP-Elites,1,0.5222222222222223,0.0,0.5222222222222223,0.5222222222222223,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,1.0,0.0,1.0,1.0,0.004339802944275303,0.0,0.004339802944275303,0.004339802944275303,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,229.4252088955132,0.0,229.4252088955132,229.4252088955132,114.61808726993948,0.0,114.61808726993948,114.61808726993948,0.0,0.0,0.0,0.0,-0.054043941594801435,0.0,-0.054043941594801435,-0.054043941594801435,0.0,0.0,0.0,0.0,0.019138526916503907,0.0,0.019138526916503907,0.019138526916503907,1.0,0.0,1.0,1.0,86.0,0.0,86,86,3.0,0.0,3,3
Best-of-N,1,0.38987798748202884,0.0,0.38987798748202884,0.38987798748202884,0.42000321782831856,0.0,0.42000321782831856,0.42000321782831856,0.23255813953488372,0.0,0.23255813953488372,0.23255813953488372,0.5348590041057663,0.0,0.5348590041057663,0.5348590041057663,0.3768253622186232,0.0,0.3768253622186232,0.3768253622186232,1.0,0.0,1.0,1.0,66.0,0.0,66.0,66.0,0.8696516134600849,0.0,0.8696516134600849,0.8696516134600849,1.241821020768923,0.0,1.241821020768923,1.241821020768923,55.2,0.0,55.2,55.2,0.3768253622186232,0.0,0.3768253622186232,0.3768253622186232,0.0,0.0,0.0,0.0,0.025807619094848633,0.0,0.025807619094848633,0.025807619094848633,1.0,0.0,1.0,1.0,9.0,0.0,9,9,1.0,0.0,1,1
Beam Search,1,0.3129929764794316,0.0,0.3129929764794316,0.3129929764794316,0.37960778068375267,0.0,0.37960778068375267,0.37960778068375267,0.09842519685039369,0.0,0.09842519685039369,0.09842519685039369,0.5548916479757745,0.0,0.5548916479757745,0.5548916479757745,0.20732412417925894,0.0,0.20732412417925894,0.20732412417925894,1.0,0.0,1.0,1.0,183.2,0.0,183.2,183.2,0.802153634223844,0.0,0.802153634223844,0.802153634223844,1.4903165318811773,0.0,1.4903165318811773,1.4903165318811773,151.6,0.0,151.6,151.6,0.20732412417925894,0.0,0.20732412417925894,0.20732412417925894,0.0,0.0,0.0,0.0,0.010249185562133788,0.0,0.010249185562133788,0.010249185562133788,1.0,0.0,1.0,1.0,29.0,0.0,29,29,4.0,0.0,4,4
MCTS,1,0.33971155459528657,0.0,0.33971155459528657,0.33971155459528657,0.38356366802629716,0.0,0.38356366802629716,0.38356366802629716,0.0441306266548985,0.0,0.0441306266548985,0.0441306266548985,0.5574618240909317,0.0,0.5574618240909317,0.5574618240909317,0.38729981026894006,0.0,0.38729981026894006,0.38729981026894006,1.0,0.0,1.0,1.0,433.2,0.0,433.2,433.2,0.7938448101459276,0.0,0.7938448101459276,0.7938448101459276,1.2749698294162493,0.0,1.2749698294162493,1.2749698294162493,358.6,0.0,358.6,358.6,0.38729981026894006,0.0,0.38729981026894006,0.38729981026894006,0.0,0.0,0.0,0.0,0.0429499626159668,0.0,0.0429499626159668,0.0429499626159668,1.0,0.0,1.0,1.0,48.0,0.0,48,48,5.0,0.0,5,5
