strategy,n_runs,overall_score_mean,overall_score_std,overall_score_min,overall_score_max,composite_score_mean,composite_score_std,composite_score_min,composite_score_max,smoothness_score_mean,smoothness_score_std,smoothness_score_min,smoothness_score_max,responsiveness_score_mean,responsiveness_score_std,responsiveness_score_min,responsiveness_score_max,accuracy_score_mean,accuracy_score_std,accuracy_score_min,accuracy_score_max,efficiency_score_mean,efficiency_score_std,efficiency_score_min,efficiency_score_max,slope_changes_mean,slope_changes_std,slope_changes_min,slope_changes_max,lag_error_mean,lag_error_std,lag_error_min,lag_error_max,avg_error_mean,avg_error_std,avg_error_min,avg_error_max,false_reversals_mean,false_reversals_std,false_reversals_min,false_reversals_max,correlation_mean,correlation_std,correlation_min,correlation_max,noise_reduction_mean,noise_reduction_std,noise_reduction_min,noise_reduction_max,execution_time_mean,execution_time_std,execution_time_min,execution_time_max,success_rate_mean,success_rate_std,success_rate_min,success_rate_max,iteration_mean,iteration_std,iteration_min,iteration_max,generation_mean,generation_std,generation_min,generation_max
MAP-Elites,1,0.35118415267797665,0.0,0.35118415267797665,0.35118415267797665,0.39187336021999625,0.0,0.39187336021999625,0.39187336021999625,0.06501950585175552,0.0,0.06501950585175552,0.06501950585175552,0.6395541117177922,0.0,0.6395541117177922,0.6395541117177922,0.407154537098135,0.0,0.407154537098135,0.407154537098135,1.0,0.0,1.0,1.0,287.6,0.0,287.6,287.6,0.5635893533919726,0.0,0.5635893533919726,0.5635893533919726,1.2360165636525804,0.0,1.2360165636525804,1.2360165636525804,234.2,0.0,234.2,234.2,0.407154537098135,0.0,0.407154537098135,0.407154537098135,0.0,0.0,0.0,0.0,0.004021787643432617,0.0,0.004021787643432617,0.004021787643432617,1.0,0.0,1.0,1.0,20.0,0.0,20,20,2.0,0.0,2,2
Best-of-N,1,0.2959181817157873,0.0,0.2959181817157873,0.2959181817157873,0.3702629492604189,0.0,0.3702629492604189,0.3702629492604189,0.09225092250922509,0.0,0.09225092250922509,0.09225092250922509,0.5109405741382963,0.0,0.5109405741382963,0.5109405741382963,0.14681408754887354,0.0,0.14681408754887354,0.14681408754887354,1.0,0.0,1.0,1.0,196.8,0.0,196.8,196.8,0.9571747686832364,0.0,0.9571747686832364,0.9571747686832364,1.6957499837553027,0.0,1.6957499837553027,1.6957499837553027,161.2,0.0,161.2,161.2,0.14681408754887354,0.0,0.14681408754887354,0.14681408754887354,0.0,0.0,0.0,0.0,0.009934759140014649,0.0,0.009934759140014649,0.009934759140014649,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1.0,0.0,1,1
Beam Search,1,0.2903276384592561,0.0,0.2903276384592561,0.2903276384592561,0.3709747876912923,0.0,0.3709747876912923,0.3709747876912923,0.059808612440191394,0.0,0.059808612440191394,0.059808612440191394,0.5201934638376923,0.0,0.5201934638376923,0.5201934638376923,0.14988000447350439,0.0,0.14988000447350439,0.14988000447350439,1.0,0.0,1.0,1.0,314.4,0.0,314.4,314.4,0.9223617163940651,0.0,0.9223617163940651,0.9223617163940651,1.6602533550849625,0.0,1.6602533550849625,1.6602533550849625,258.4,0.0,258.4,258.4,0.14988000447350439,0.0,0.14988000447350439,0.14988000447350439,0.0,0.0,0.0,0.0,0.009829044342041016,0.0,0.009829044342041016,0.009829044342041016,1.0,0.0,1.0,1.0,5.0,0.0,5,5,1.0,0.0,1,1
MCTS,1,0.34424918599370435,0.0,0.34424918599370435,0.34424918599370435,0.3843607087836814,0.0,0.3843607087836814,0.3843607087836814,0.06954102920723226,0.0,0.06954102920723226,0.06954102920723226,0.5949030965529959,0.0,0.5949030965529959,0.5949030965529959,0.38298348319392667,0.0,0.38298348319392667,0.38298348319392667,1.0,0.0,1.0,1.0,267.6,0.0,267.6,267.6,0.680946032713946,0.0,0.680946032713946,0.680946032713946,1.345993515418347,0.0,1.345993515418347,1.345993515418347,222.2,0.0,222.2,222.2,0.38298348319392667,0.0,0.38298348319392667,0.38298348319392667,0.0,0.0,0.0,0.0,0.01567215919494629,0.0,0.01567215919494629,0.01567215919494629,1.0,0.0,1.0,1.0,8.0,0.0,8,8,1.0,0.0,1,1
