,combined_score,combined_score,combined_score,combined_score,combined_score,mse_train_score,mse_train_score,optimization_success
,count,mean,std,min,max,mean,std,mean
strategy,,,,,,,,
beam_search,127,4.998891485183625,2.781227380879269,-2.658647302533513,8.999641775465024,,,0.0
best_of_n,127,3.635206988082209,2.648813407212219,-2.784277977038213,8.692265295180384,,,0.0
map_elites,127,5.61855307088861,2.656494181096839,-1.2640911940853614,8.999935425980462,,,0.0
mcts,127,5.010035873974961,2.7869035642260087,-2.78458043164138,8.999945444565814,,,0.0
