split,problem_id,problem_index,strategy,strategy_raw,combined_score,mse_train_score,raw_mse_train,negative_mse,iteration,generation,can_run,optimization_success,program_id,parent_id,result_file
bio_pop_growth,BPG0,0,beam_search,beam_search,3.610297871888419,,,-0.0002453015868545767,51,7,,False,ac367899-5220-40e5-80a7-a109a25e002d,7ed86e37-73d2-4b28-98db-8c7df2767271,problems/bio_pop_growth/BPG0/openevolve_output/beam_search/best/best_program_info.json
bio_pop_growth,BPG0,0,mcts,mcts,2.8965981367515954,,,-0.0012688243978303132,55,3,,False,3a4dffa5-1a6f-405d-85c9-c29ac57331f5,2d8b80fc-f07a-4587-a7b6-4f51ad1fdb56,problems/bio_pop_growth/BPG0/openevolve_output/mcts/best/best_program_info.json
bio_pop_growth,BPG0,0,best_of_n,best_of_n,2.5675087670585657,,,-0.002707017557061305,1,1,,False,8b57634f-7d53-4224-afd6-9012fc6199d8,d6f3c976-aa7d-42aa-b6bd-54339320991c,problems/bio_pop_growth/BPG0/openevolve_output/best_of_n/best/best_program_info.json
bio_pop_growth,BPG0,0,map_elites,openevolve,5.491396145601172,,,-3.2245505645854944e-06,184,6,,False,ed238b36-d335-400e-89aa-437548be40dc,3b40b4c8-647f-4156-93a3-5a2515ddb7ef,problems/bio_pop_growth/BPG0/openevolve_output/best/best_program_info.json
bio_pop_growth,BPG1,1,beam_search,beam_search,2.835941649951424,,,-0.0014590092738216173,24,3,,False,492775e1-4b45-4a61-9ae9-f6d688e1463b,3aa55f3f-5618-45f0-9dbf-5c27526c2903,problems/bio_pop_growth/BPG1/openevolve_output/beam_search/best/best_program_info.json
bio_pop_growth,BPG1,1,mcts,mcts,3.0050647540749993,,,-0.0009884047106308396,33,2,,False,a972afae-3ed1-46c3-a3f9-8f2545adf046,162fd7a1-b02a-4854-9afe-6308ce4a3b82,problems/bio_pop_growth/BPG1/openevolve_output/mcts/best/best_program_info.json
bio_pop_growth,BPG1,1,best_of_n,best_of_n,-0.18846486813275332,,,-1.5433515692170874,0,0,,False,2a3a4d72-8928-4430-ad59-cb3c7fbb41d5,,problems/bio_pop_growth/BPG1/openevolve_output/best_of_n/best/best_program_info.json
bio_pop_growth,BPG1,1,map_elites,openevolve,2.670533531311211,,,-0.002135336213078099,159,10,,False,f3ca9245-c8c2-456e-a793-a7e4afd9442f,d8e04eea-a75c-40c5-87ec-95654973c870,problems/bio_pop_growth/BPG1/openevolve_output/best/best_program_info.json
bio_pop_growth,BPG2,2,beam_search,beam_search,0.288918214234914,,,-0.5141404637217322,14,2,,False,8f624895-cef6-4b09-8fa9-31c8cff66413,2c61f1b8-47d9-4787-ad0e-e7e2259cdeda,problems/bio_pop_growth/BPG2/openevolve_output/beam_search/best/best_program_info.json
bio_pop_growth,BPG2,2,mcts,mcts,-0.7600698834824494,,,-5.755325402612835,31,2,,False,458b8189-aad2-4c0b-b0de-e750d83fbdc9,7b53ab0d-5aed-4025-b5c1-a22d0ed6f6ba,problems/bio_pop_growth/BPG2/openevolve_output/mcts/best/best_program_info.json
